dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,32.185,0.004
bf16,bf16,1,4096,26.859,0.017
bf16,bf16,1,8192,29.422,0.031
bf16,bf16,1,16384,27.329,0.066
bf16,bf16,1,32768,30.279,0.12
bf16,bf16,1,65536,44.078,0.165
bf16,bf16,1,131072,64.77,0.224
bf16,bf16,16,1024,26.346,0.069
bf16,bf16,16,4096,40.868,0.178
bf16,bf16,16,8192,61.4,0.236
bf16,bf16,16,16384,102.122,0.284
bf16,bf16,16,32768,182.303,0.318
bf16,bf16,16,65536,344.492,0.337
bf16,bf16,16,131072,670.915,0.346
bf16,bf16,32,1024,26.687,0.136
bf16,bf16,32,4096,62.374,0.233
bf16,bf16,32,8192,106.788,0.272
bf16,bf16,32,16384,195.588,0.297
bf16,bf16,32,32768,372.492,0.312
bf16,bf16,32,65536,724.345,0.321
bf16,bf16,32,131072,1432.497,0.324
bf16,bf16,64,1024,41.543,0.175
bf16,bf16,64,4096,108.503,0.267
bf16,bf16,64,8192,196.69,0.295
bf16,bf16,64,16384,374.732,0.31
bf16,bf16,64,32768,724.829,0.32
bf16,bf16,64,65536,1430.924,0.324
bf16,bf16,64,131072,2846.861,0.326
bf16,bf16,128,1024,59.279,0.245
bf16,bf16,128,4096,193.442,0.3
bf16,bf16,128,8192,371.539,0.312
bf16,bf16,128,16384,725.658,0.32
bf16,bf16,128,32768,1435.82,0.323
bf16,bf16,128,65536,2860.076,0.325
bf16,bf16,256,1024,113.93,0.255
bf16,bf16,256,4096,392.364,0.296
bf16,bf16,256,8192,753.387,0.308
bf16,bf16,256,16384,1472.413,0.315
bf16,bf16,512,1024,196.628,0.295
bf16,bf16,512,4096,684.27,0.339
bf16,bf16,512,8192,1336.948,0.347
